dataset,n_models,models_used,smape_mean,smape_median,smape_fi_avg,smape_stack_svr
M1009,3,mlp_svr_theta,5.79769729434367,4.316521963442291,5.948432593364117,14.506671396343576
M1009,3,knn_arima_theta,8.501859972546349,10.103048562769299,8.324622012460752,14.506575440916816
M1009,3,mlp_tbats_ces,9.751310994081807,11.952204893867874,9.761216091718476,14.506671396343576
M1009,3,svr_arima_ces,7.872065925855824,10.054258395696188,6.99160337942883,14.506671396343576
M1009,3,theta_tbats_ces,12.12950781720165,11.916679165729953,12.153880598429405,14.506671396343576
M1009,3,rf_mlp_ces,7.214651990490833,4.520797319646172,7.765263937086598,14.506671396343576
M1009,3,rf_arima_ets,8.217368950017669,10.040502519536355,8.365216934097404,14.506671396343576
M1009,3,knn_theta_ces,9.363832914033072,11.916679165729953,8.941874512573234,14.506671396343576
M1009,3,knn_svr_ces,5.621371473669186,3.3877909642386026,5.39934238809501,14.50666816040766
M1009,3,rf_arima_ces,9.0319882984135,10.172826526601396,8.9516731829521,14.506671396343576
M1009,3,arima_theta_ces,11.506953573056098,11.916679165729953,11.396863096325156,14.506671396343576
M1009,3,rf_knn_theta,6.592020708939741,4.3603236016066,7.0563475485418605,14.506648348669648
M1009,3,rf_ets_theta,8.861981297585436,10.2769238180685,8.792747390428556,14.506671396343576
M1009,3,svr_ets_tbats,7.699952206288074,10.193881415301215,7.958490571474066,14.506671396343576
M1009,3,rf_mlp_svr,3.366587956799563,4.211443592170992,3.462541057265049,14.506671396343576
M1009,3,mlp_arima_tbats,8.892863984484583,10.137300798463473,9.177736100038684,14.506671396343576
M1009,3,rf_mlp_theta,6.9903836623401,4.520797319646172,6.639145603720005,14.506671396343576
M1009,3,rf_mlp_arima,6.3327955650013275,4.520797319646172,6.030825123074464,14.506671396343576
M1009,3,mlp_knn_tbats,6.671806806798516,4.331328569972935,6.695268248820555,14.506671396343576
M1009,3,mlp_ets_ces,9.162467069452083,10.312449546206421,8.982925180634677,14.506671396343576
M1009,3,knn_ets_theta,8.551987713775402,10.242671582374326,8.731454202656021,14.506671396343576
M1009,3,mlp_svr_tbats,5.79769729434367,4.316521963442291,6.274871092949819,14.506671396343576
M1009,3,knn_tbats_ces,9.363832914033072,11.916679165729953,9.483710160206954,14.506671396343576
M1009,2,rf_svr,2.744782880682041,2.744782880682041,2.6316405743387614,14.506670779520364
M1009,2,arima_ces,11.301420273329319,11.301420273329319,11.325624753533114,14.506671396343576
M1009,2,knn_svr,2.2269007939577588,2.2269007939577588,2.2404960619410788,14.482889694681889
M1009,2,rf_ets,7.2923611301111055,7.2923611301111055,7.118208979823443,14.506671396343576
M1009,2,rf_knn,3.869306795633472,3.869306795633472,3.8351223424758842,14.506671396343556
M1009,2,knn_ets,6.816922124120042,6.816922124120042,7.17669756210321,14.506671340915487
M1009,2,rf_arima,7.216160273148002,7.216160273148002,7.149937477145459,14.506671396343576
M1009,2,rf_theta,8.19168798457187,8.19168798457187,8.56424273422137,14.506671396343576
M1009,2,svr_ets,5.50715623787663,5.50715623787663,5.623737495991557,14.506659834193513
M1009,2,knn_arima,6.740334416688072,6.740334416688072,6.738000352844015,14.494239220098079
M1009,2,ets_theta,11.052394411596,11.052394411596,10.950958457671028,14.506671325379564
M1009,2,knn_theta,7.720802062321491,7.720802062321491,7.606329498789482,14.491579634396649
M1009,2,mlp_svr,2.855150484728129,2.855150484728129,2.9537491680781045,14.506671396343576
M1009,2,tbats_ces,12.235741527962531,12.235741527962531,12.225229035536314,14.506671396343576
M1009,2,mlp_ets,7.4128426925822835,7.4128426925822835,7.33705547423269,14.506671396343576
M1009,2,arima_tbats,10.979170258662041,10.979170258662041,10.92613516669231,14.502695374777286
M1009,2,rf_ces,8.52364340264372,8.52364340264372,8.640076144302151,14.506671369117333
M1009,2,svr_arima,5.429509927709212,5.429509927709212,5.399448972960355,14.506671396343576
M1009,2,svr_theta,6.4234961602515686,6.4234961602515686,6.636450379996132,14.506671396343576
M1009,2,ets_ces,11.374394884234079,11.374394884234079,11.302378820316122,14.506671396343576
M1009,2,mlp_knn,3.979832965186351,3.979832965186351,3.933280695198021,14.506671396317417
M1009,2,knn_ces,8.054432250363249,8.054432250363249,7.803177929125528,14.506671396343576
M1009,2,mlp_theta,8.311139233451412,8.311139233451412,8.372127593122885,14.506671396343576
M1009,2,mlp_arima,7.336729298815403,7.336729298815403,7.390366728928272,14.506671396343576
M1009,2,theta_ces,12.235741527962531,12.235741527962531,12.228926744612378,14.506671396343576
M1009,2,svr_ces,6.7617098224499115,6.7617098224499115,7.206309986858073,14.506671396343576
M1009,2,rf_tbats,8.19168798457187,8.19168798457187,7.425671402772532,14.506671396343576
M1009,2,ets_tbats,11.052394411596,11.052394411596,10.975619571122943,14.506671325379564
M1009,2,mlp_ces,8.642715248348045,8.642715248348045,8.197320554900243,14.506671396343576
M1009,2,knn_tbats,7.720802062321491,7.720802062321491,7.748748898922038,14.491579634396649
M1009,2,rf_mlp,4.483211958093235,4.483211958093235,4.480393149404235,14.506671396342641
M1009,2,theta_tbats,11.916679165729953,11.916679165729953,11.916679165729967,14.487022553246709
M1009,2,svr_tbats,6.4234961602515686,6.4234961602515686,6.32216355592975,14.506671396343576
M1009,2,mlp_tbats,8.311139233451412,8.311139233451412,8.317152303066097,14.506671396343576
M1009,2,arima_ets,10.106223256435307,10.106223256435307,10.113278602275551,14.506671324812146
M1009,2,arima_theta,10.979170258662041,10.979170258662041,11.007944926259977,14.502695374777286
M101,1,rf,10.315740892342266,10.315740892342266,10.315740892342266,10.315740892342266
