dataset,n_models,models_used,rmse_mean,rmse_median,rmse_fi_avg,rmse_stack_svr
M1003,4,mlp_svr_ets_tbats,69.09915814191771,73.18272896115728,46.420364622242566,1009.1424127246003
M1003,4,rf_knn_svr_ces,51.38400884301226,55.28100128239941,54.07442850087578,1010.7322911720663
M1003,4,rf_svr_ets_theta,55.09551272324247,63.912784332197106,49.460475471530685,1007.1026925066311
M1003,4,rf_knn_arima_tbats,63.128910566813545,62.38671110226269,61.928587489777016,1004.4162063918969
M1003,4,arima_ets_tbats_ces,70.48857621976013,70.35063188835619,70.17713473097433,1004.9067755822052
M1003,4,knn_svr_theta_tbats,54.52438351709056,61.99578223558335,47.432954689593096,1006.9563929961855
M1003,4,mlp_theta_tbats_ces,81.53688416319387,72.06538217620128,70.96458831420868,1009.1859925410939
M1003,4,knn_ets_theta_ces,67.67653318556093,70.78628414205885,66.8041646614111,1007.7435874997142
M1003,4,rf_knn_svr_tbats,52.092908396169946,55.609701191481854,50.833543300630176,1011.1125477606246
M1003,4,rf_knn_ets_tbats,65.26728406615848,65.20554815613794,64.33793204131584,1012.7112240203488
M1003,4,rf_mlp_theta_ces,79.69959460249319,69.8082873337561,63.3941849125439,1014.0616202072345
M1003,4,arima_theta_tbats_ces,69.73386367699318,70.35063188835619,68.16168628259395,1005.1644029224763
M1003,4,rf_mlp_ets_ces,80.10788640486702,71.3890918854574,66.41644356005665,1004.3025832363937
M1003,3,knn_svr_arima,48.68720115032369,52.94412409849967,47.68200558885746,1005.1871425419221
M1003,3,arima_ets_theta,71.06374906911152,71.98581624137636,71.17596192706563,792.6066877555003
M1003,3,mlp_ets_tbats,89.55257929298075,75.62115281248933,76.55031262021531,1008.6593452501309
M1003,3,mlp_arima_ets,88.63926279228504,76.92789918364633,70.88274995271544,1004.3986335009804
M1003,3,svr_ets_ces,53.664318874694516,66.8754386980403,57.55876709558568,997.998612448505
M1003,3,rf_svr_ets,50.251677324697766,57.46850949336338,52.84382642550675,753.2650630874821
M1003,3,mlp_knn_ets,92.2613398953198,82.61261292533096,68.40376799443113,1004.2796945859491
M1003,3,mlp_arima_ces,88.00211397761632,70.05042603288626,68.45128595246567,1004.7724691597217
M1003,3,mlp_svr_ets,73.02649860133725,75.18271986692483,50.0453012850051,1003.9811904666572
M1003,3,knn_arima_ets,65.8938907451298,67.65378797675301,65.1604773234637,1004.3471924004608
M1003,3,svr_arima_theta,51.6539050550635,64.49357648994616,42.792200181881704,999.6651211032182
M1003,3,rf_theta_ces,65.40093939519477,67.9731093153569,62.02810527361849,1005.9845283438016
M1003,3,rf_svr_ces,48.0176717273859,57.02782372069237,46.415010640814195,1003.1124224948283
M1003,3,mlp_knn_ces,91.58690344248966,78.13222132943936,65.2590040019315,1001.9815747447155
